state,st,district,dc
Andaman & Nicobar Islands,35,Nicobars,1
Andaman & Nicobar Islands,35,North & Middle Andaman,2
Andaman & Nicobar Islands,35,South Andaman,3
Andhra Pradesh,28,Srikakulam,1
Andhra Pradesh,28,Vizianagaram,2
Andhra Pradesh,28,Visakhapatnam,3
Andhra Pradesh,28,East Godavari,4
Andhra Pradesh,28,West Godavari,5
Andhra Pradesh,28,Krishna,6
Andhra Pradesh,28,Guntur,7
Andhra Pradesh,28,Prakasam,8
Andhra Pradesh,28,Sri Potti Sriramulu Nellore,9
Andhra Pradesh,28,Y.S.R. (Cuddapah),10
Andhra Pradesh,28,Kurnool,11
Andhra Pradesh,28,Anantapur,12
Andhra Pradesh,28,Chittoor,13
Arunachal Pradesh,12,Tawang,1
Arunachal Pradesh,12,West Kameng,2
Arunachal Pradesh,12,East Kameng,3
Arunachal Pradesh,12,Papum Pare,4
Arunachal Pradesh,12,Upper Subansiri,5
Arunachal Pradesh,12,West Siang,6
Arunachal Pradesh,12,East Siang,7
Arunachal Pradesh,12,Upper Siang,8
Arunachal Pradesh,12,Changlang,9
Arunachal Pradesh,12,Tirap,10
Arunachal Pradesh,12,Lower Subansiri,11
Arunachal Pradesh,12,Kurung Kumey,12
Arunachal Pradesh,12,Dibang Valley,13
Arunachal Pradesh,12,Lower Dibang Valley,14
Arunachal Pradesh,12,Lohit,15
Arunachal Pradesh,12,Anjaw,16
Assam,18,Kokrajhar,1
Assam,18,Dhubri,2
Assam,18,Goalpara,3
Assam,18,Barpeta,4
Assam,18,Morigaon,5
Assam,18,Nagaon,6
Assam,18,Sonitpur,7
Assam,18,Lakhimpur,8
Assam,18,Dhemaji,9
Assam,18,Tinsukia,10
Assam,18,Dibrugarh,11
Assam,18,Sivasagar,12
Assam,18,Jorhat,13
Assam,18,Golaghat,14
Assam,18,Karbi Anglong,15
Assam,18,Dima Hasao,16
Assam,18,Cachar,17
Assam,18,Karimganj,18
Assam,18,Hailakandi,19
Assam,18,Bongaigaon,20
Assam,18,Chirang,21
Assam,18,Kamrup,22
Assam,18,Kamrup Metropolitan,23
Assam,18,Nalbari,24
Assam,18,Baksa,25
Assam,18,Darrang,26
Assam,18,Udalguri,27
Bihar,10,Pashchim Champaran,1
Bihar,10,Purbi Champaran,2
Bihar,10,Sheohar,3
Bihar,10,Sitamarhi,4
Bihar,10,Madhubani,5
Bihar,10,Supaul,6
Bihar,10,Araria,7
Bihar,10,Kishanganj,8
Bihar,10,Purnia,9
Bihar,10,Katihar,10
Bihar,10,Madhepura,11
Bihar,10,Saharsa,12
Bihar,10,Darbhanga,13
Bihar,10,Muzaffarpur,14
Bihar,10,Gopalganj,15
Bihar,10,Siwan,16
Bihar,10,Saran,17
